txn_id,customer_id,merchant_id,amount,timestamp,channel,status,txn_hour,is_weekend,day_of_week,month,success_rate,failure_rate,avg_txn_amt
TXN273582,CUST0450,MERCH031,2996.714153,,UPI,SUCCESS,,FALSE,,,0.64,0.208,2562.789398
TXN941079,CUST0450,MERCH053,2361.735699,11-02-2024 23:08,UPI,SUCCESS,23,TRUE,Sunday,2,0.64,0.208,2562.789398
TXN831315,CUST0484,MERCH052,3147.688538,04-02-2024 05:30,WALLET,SUCCESS,5,TRUE,Sunday,2,0.64,0.208,2562.789398
TXN368943,CUST0215,MERCH012,4023.029856,13-05-2024 22:11,CARD,SUCCESS,22,FALSE,Monday,5,0.64,0.208,2562.789398
TXN408735,CUST0211,MERCH071,2265.846625,14-06-2024 18:41,UPI,PENDING,18,FALSE,Friday,6,0.64,0.208,2562.789398
TXN764489,CUST0114,MERCH082,2265.863043,30-04-2024 05:22,QR,SUCCESS,5,FALSE,Tuesday,4,0.64,0.208,2562.789398
TXN245265,CUST0448,MERCH033,4079.212816,11-05-2024 17:38,UPI,SUCCESS,17,TRUE,Saturday,5,0.64,0.208,2562.789398
TXN429364,CUST0073,MERCH071,3267.434729,,WALLET,SUCCESS,,FALSE,,,0.64,0.208,2562.789398
TXN257826,CUST0301,MERCH073,2030.525614,06-05-2024 10:37,CARD,SUCCESS,10,FALSE,Monday,5,0.64,0.208,2562.789398
TXN391963,CUST0101,MERCH005,3042.560044,01-01-2024 14:38,QR,SUCCESS,14,FALSE,Monday,1,0.64,0.208,2562.789398
TXN943173,CUST0332,MERCH094,2036.582307,11-05-2024 08:10,CARD,SUCCESS,8,TRUE,Saturday,5,0.64,0.208,2562.789398
TXN673504,CUST0292,MERCH071,2034.270246,07-04-2024 21:28,CARD,FAILED,21,TRUE,Sunday,4,0.64,0.208,2562.789398
TXN195484,CUST0027,MERCH010,2741.962272,20-05-2024 18:40,UPI,SUCCESS,18,FALSE,Monday,5,0.64,0.208,2562.789398
TXN331938,CUST0088,MERCH034,586.7197553,16-05-2024 00:08,CARD,SUCCESS,0,FALSE,Thursday,5,0.64,0.208,2562.789398
TXN632667,CUST0416,MERCH003,775.0821675,27-06-2024 09:05,UPI,SUCCESS,9,FALSE,Thursday,6,0.64,0.208,2562.789398
TXN528041,CUST0385,MERCH046,1937.712471,14-01-2024 12:49,QR,PENDING,12,TRUE,Sunday,1,0.64,0.208,2562.789398
TXN216286,CUST0277,MERCH007,1487.16888,25-02-2024 18:30,WALLET,SUCCESS,18,TRUE,Sunday,2,0.64,0.208,2562.789398
TXN969037,CUST0105,MERCH057,2814.247333,23-03-2024 20:02,CARD,FAILED,20,TRUE,Saturday,3,0.64,0.208,2562.789398
TXN599990,CUST0307,MERCH063,1591.975924,15-04-2024 14:44,UPI,UNKNOWN,14,FALSE,Monday,4,0.64,0.208,2562.789398
TXN624272,CUST0298,MERCH038,1087.696299,30-05-2024 02:48,WALLET,SUCCESS,2,FALSE,Thursday,5,0.64,0.208,2562.789398
TXN144068,CUST0435,MERCH062,3965.648769,15-04-2024 21:16,WALLET,SUCCESS,21,FALSE,Monday,4,0.64,0.208,2562.789398
TXN893893,CUST0181,MERCH032,2274.2237,19-02-2024 22:15,CARD,SUCCESS,22,FALSE,Monday,2,0.64,0.208,2562.789398
TXN343743,CUST0239,MERCH098,2567.528205,21-04-2024 14:26,UPI,SUCCESS,14,TRUE,Sunday,4,0.64,0.208,2562.789398
TXN627316,CUST0079,MERCH057,1075.251814,17-04-2024 14:37,UPI,SUCCESS,14,FALSE,Wednesday,4,0.64,0.208,2562.789398
TXN359531,CUST0058,MERCH056,1955.617275,,UPI,SUCCESS,,FALSE,,,0.64,0.208,2562.789398
